00.wav,-0.7
01.wav,-0.45
02.wav,-0.6
03.wav,-0.7
04.wav,-0.9
05.wav,-0.8
06.wav,-0.7
07.wav,-0.8
08.wav,-0.98
09.wav,-0.92
10.wav,0.1
11.wav,0.12
12.wav,0.02
13.wav,0.13
14.wav,0.08
15.wav,0.7
16.wav,0.82
17.wav,0.6
18.wav,0.9
19.wav,0.9
20.wav,-0.6
21.wav,-0.5
22.wav,-0.7
23.wav,-0.55
24.wav,-0.5
25.wav,-0.8
26.wav,-0.9
27.wav,-0.95
28.wav,-0.8
29.wav,-0.86
30.wav,-0.1
31.wav,-0.2
32.wav,0.0
33.wav,0.1
34.wav,-0.1
35.wav,0.0
36.wav,-0.25
37.wav,0.1
38.wav,0.2
39.wav,-0.12
40.wav,-0.6
41.wav,0.5
42.wav,0.8
43.wav,0.9
44.wav,0.3
45.wav,0.6
46.wav,0.5
